time,position_x,position_y,position_z,roll,pitch,yaw
1666750474.3493602,0.7315689163762746,0.6098730600214665,0.008536715545565544,0.032217093890288234,0.3255166480637852,52.95416956440684
1666750474.3835416,0.7356290741952863,0.6153545732576235,0.008539616008823555,0.03184051491923424,0.3243179623529294,53.69040149630742
1666750474.4182801,0.7398178367198628,0.6207737141290146,0.008532554988745375,0.03291425411478915,0.3243716374378791,52.9876062141079
1666750474.4527285,0.7441493903658527,0.6260771656647354,0.00853635326746654,0.0343499024905133,0.32518571606633634,51.484669169758796
1666750474.4885235,0.7485903068770426,0.6312756788314117,0.008528868760287219,0.03517156524826502,0.32637727787764786,50.04518296216499
1666750474.5234015,0.7531359351551273,0.6363873901508672,0.00853434331535843,0.03532395370350767,0.3274844048207824,48.92662208081191
1666750474.558018,0.7577804456372391,0.6413967334203459,0.008525880255043722,0.0353120852527766,0.3287064763829345,47.69193413521528
1666750474.5939555,0.7624257825346163,0.6463466756309391,0.00853020876533171,0.03461319447120296,0.3295237094792443,46.748602949982605
1666750474.6279242,0.7669687615129441,0.6513463686775398,0.008529722708850678,0.03232278963364802,0.3294827933093721,47.13890278314449
1666750474.6616828,0.7713665032086254,0.6564600073372081,0.008533894519567962,0.02926265188542506,0.32885334613459,48.51129378728406
1666750474.6964386,0.7756103090296214,0.6617014840863474,0.008527157575275841,0.02640978264409119,0.32821617264327513,50.18345124679848
1666750474.72982,0.7797042372937658,0.6670649266663179,0.00853556028887937,0.023997037966184822,0.3276724167138776,51.87210827541421
1666750474.764347,0.7836691137362874,0.6725422626121348,0.008530915849731651,0.02197993814620451,0.32741838302024334,53.46412639128384
1666750474.7984886,0.787597508947257,0.6780929067717386,0.008535940723466792,0.020510693294508064,0.32751678117863714,54.62312242720345
1666750474.8321168,0.7915955499366264,0.6836325014810805,0.008525932350113332,0.02030750546274308,0.3280778025199434,54.58886554207734
1666750474.8658624,0.7957269340752613,0.6890981731317696,0.008531998200708305,0.020981569913628928,0.3287211895163652,53.612405206046404
1666750474.89816,0.8000370508857465,0.6944405259456706,0.008527210763291087,0.021766321249802524,0.32941411635433177,52.04200342334866
1666750474.9323208,0.8045147864630867,0.6996326619957413,0.008528715408160836,0.02215127186522052,0.329925107790752,50.076649352072415
1666750474.9685154,0.8091092062701759,0.7046941870695297,0.008531695750933049,0.021648974857083492,0.33004940370414193,48.37021795191364
1666750475.0034106,0.8137303485033159,0.7096833484931282,0.00852636304961319,0.02020893211952122,0.32977867508948916,47.27936035988235
1666750475.0379272,0.8182930906633988,0.7146865669482809,0.00853404412893029,0.017383120794938783,0.3289245898777411,47.27869180102181
1666750475.0737777,0.8227353186845394,0.7197672202010613,0.008530856990961589,0.013383498319284214,0.3279813822809024,48.15303188808412
1666750475.1081612,0.8269993623201177,0.7249740116916308,0.008534567313533999,0.009063490451750646,0.3270562374230572,49.698078754660564
1666750475.1410527,0.8310642210674408,0.730338664124804,0.008534359102619613,0.00508160933927145,0.32656432346611847,51.81453127775711
1666750475.1754045,0.8349506377376155,0.7358451537134684,0.008530566669994565,0.0021407108087403027,0.3264686901609321,53.90236043278101
1666750475.209482,0.8386584824698416,0.7414706439189581,0.008535577236993636,0.00015606485881795642,0.3268277642060269,55.7157064480667
1666750475.2442367,0.8421676784940292,0.7472166535958688,0.008529041932566381,-0.0012883530464633268,0.3276286532674716,57.61347144298686
1666750475.279067,0.8454750370950989,0.7530838361925853,0.008533804856391615,-0.002107397214569524,0.32851050525094677,59.64369188129695
1666750475.3143244,0.8485862146039503,0.7590596464277809,0.008525448513910195,-0.0020228119959199323,0.32931263427272023,61.5928079209879
1666750475.3478858,0.8514943718199723,0.765134587669475,0.008531844526394288,-0.0009235337143999976,0.3296107210074427,63.48948692028394
1666750475.3823628,0.854211697933301,0.771312911717309,0.008531210050804566,0.0012725775486548123,0.3294640319170051,65.44505984516802
1666750475.415775,0.8568423275236158,0.7775726024228723,0.008534656710095883,0.0051440502567691145,0.3287726213683815,66.97521851648801
1666750475.4508753,0.8595113307562771,0.7838496936315271,0.00853106917582681,0.010956762324324692,0.3277426940625161,67.23679873024334
1666750475.483494,0.8622892414347477,0.7900994537283171,0.008536470183133499,0.017355517550815328,0.3266764329121717,66.57324631046859
1666750475.5168574,0.8652463860637872,0.7962935149768928,0.008532723873528906,0.023528477969693803,0.3259008151258091,65.35684580109736
1666750475.5505164,0.8684218296519923,0.8023737805005103,0.00853645088644433,0.029096935927178876,0.3256427956791974,63.40511133318685
1666750475.5837169,0.8716870520999149,0.808347405656879,0.008534161994067277,0.0334191330074573,0.32563453417407384,61.57828854158008
1666750475.6199634,0.8749071519467241,0.8143166231030731,0.008534288395058976,0.036490870830944794,0.32511325852816747,61.394966274243714
1666750475.655356,0.8781046798124212,0.8203194260476927,0.008538240250806059,0.03952633459608891,0.3246197816700377,61.93468731845664
1666750475.6893094,0.8813324594790115,0.8263150565186833,0.008532494689812894,0.04332336805277706,0.3250311756511755,61.8652471524917
1666750475.7234855,0.8845647439199487,0.8322945064829927,0.008534518466100446,0.047311959295064814,0.32578177396990593,61.58665873688628
1666750475.7575386,0.8877873556028777,0.8382839146135518,0.008530032948580403,0.05100032969372833,0.32656997783313885,61.69812446980764
1666750475.7908375,0.8910559491726356,0.8442695248260954,0.00853322133672826,0.05491430530557908,0.3277599270182755,61.64092938119535
1666750475.826172,0.894385209077473,0.8502168808072893,0.008525048914713156,0.059139821015040145,0.32942787923355993,61.0227608387216
1666750475.8611393,0.8977410496795181,0.8561388690750278,0.008529290614345974,0.06275663010759666,0.3305233115156047,60.561572461033606
1666750475.8948877,0.9011245348020266,0.8620503479889587,0.008527225669180055,0.06579349611682087,0.33120640974479326,60.36881659635461
1666750475.9287167,0.9045532129500864,0.8679400641159808,0.008523731085466373,0.06858865630991247,0.3317074881383614,60.0189988011945
1666750475.9624748,0.9080291765059205,0.8738027861811758,0.008531018338991659,0.07102789675363905,0.33205222855240846,59.560273844189425
1666750475.9961073,0.9115715234345879,0.8796351655211555,0.008524508837590422,0.07298694063784325,0.33216351478516043,59.06862079921715
1666750476.0302093,0.9151910135333395,0.8854201678128203,0.008524897833051132,0.07453604388021938,0.3321485222701965,58.32981772481167
1666750476.0642035,0.9188753375500562,0.8911589950584307,0.00853062155522812,0.07546522335240287,0.3317776346810772,57.595830452273646
1666750476.0995293,0.9226205198690256,0.8968593612295246,0.008525436650242193,0.07559599426793989,0.3308875201333013,56.99269974800752
1666750476.1342049,0.9264339316128648,0.9025168874349133,0.008534453081635016,0.07497939350440885,0.3297981803278886,56.35353644035458
1666750476.1678379,0.9303268620887868,0.9081283435102951,0.008531720209047714,0.07363301330448378,0.3287067928858724,55.65124090831551
1666750476.2022805,0.9343421937833217,0.9136714799338257,0.008536181624680783,0.07167524881763397,0.3279314935325496,54.72363076740116
1666750476.2368839,0.9384858443498109,0.9191148828356737,0.008530599322625072,0.06934167455578359,0.3277899821723822,53.34171428713279
1666750476.2718477,0.9427317650586157,0.924470054193783,0.008536975758341272,0.06610022785323656,0.32740788285762595,52.086682170642376
1666750476.3054876,0.9470804788781526,0.9297469176434512,0.008532010067828496,0.06170586527639719,0.3269145936099912,51.044905795766894
1666750476.3406324,0.9515428124663272,0.9349321157064336,0.008532315709930634,0.05634069467760157,0.3266204696606688,49.878541018387864
1666750476.374559,0.956088911026196,0.9400191145496218,0.008535682790724404,0.050059822875690385,0.3265424337980955,48.62664684315642
1666750476.4100106,0.9606152779611347,0.9450672426096135,0.008532428714496026,0.04252407008713499,0.3260795892049243,47.93083404429293
1666750476.4441552,0.9650273140631774,0.9501778484549653,0.008535063828028619,0.03359573537007457,0.32514236588880446,48.53447469520757
1666750476.476884,0.9692783137827292,0.9554045422739699,0.008539796203908875,0.024287095840421206,0.32442816257897217,49.99250405552427
1666750476.5108488,0.9733354436776971,0.9607739664949984,0.008532121038623535,0.015346415251461763,0.3244576839956386,51.890629297868294
1666750476.5451844,0.9772019942283745,0.9662902622602711,0.008537299758410303,0.007341679480565853,0.32519162493740095,54.01834242990454
1666750476.5795176,0.9808894422811454,0.9719311897490569,0.008533084090193722,0.0006923637710300164,0.32676199808838274,55.939912489462806
1666750476.6137927,0.9843851323797033,0.9776877400451344,0.008524367527195842,-0.004793019464301992,0.32875207323264943,57.7864983732271
1666750476.6474736,0.9876773259830044,0.983562839959554,0.008528127384963792,-0.009222859189969249,0.3308966019965737,59.768294204355826
1666750476.6815379,0.9907694712319296,0.9895480153024788,0.008522689706997301,-0.012505294201551777,0.3329013844494316,61.75694169207411
1666750476.7156126,0.9936598127021021,0.9956327391742865,0.008526450426364789,-0.014719783717783685,0.33444867189655914,63.66819378315204
1666750476.7500234,0.9963412236929908,1.00181055408955,0.008519709035166748,-0.016010718209085412,0.33525817852704254,65.59593969409951
1666750476.784271,0.9988297167977396,1.0080849422865075,0.008527845333560203,-0.01640343614037077,0.3351243953390524,67.56295167974719
1666750476.8183806,1.001231453248509,1.0144365613197022,0.008525476505693358,-0.015337613333132442,0.3338238179709652,69.06365521359302
1666750476.8523011,1.0036718186337805,1.0208058683524193,0.008530291735275159,-0.011804941305758052,0.3310965545171318,69.30611369781556
1666750476.8865008,1.006222978521802,1.0271517482643515,0.00853433522035298,-0.006817316196246835,0.32769693387740667,68.64110497041209
1666750476.920484,1.0089571904838668,1.0334474594908385,0.008543284796569859,-0.0013906678864999643,0.32421705383070876,67.41142282587609
1666750476.9539077,1.0119334035353897,1.0396431281173635,0.00854504002687628,0.004049029748840378,0.32122475523286004,65.44779100089094
1666750476.9880562,1.0151183458620106,1.0457135370456123,0.008546231846929328,0.008584770796032853,0.31919991640197104,63.19064551207782
1666750477.0230463,1.0184452959968793,1.0516924737475146,0.0085462139134912,0.011768289624000441,0.31829935468534193,61.52108259486089
1666750477.0582874,1.0219264106169539,1.0575966979585019,0.008540097844436819,0.014298613582261425,0.3185779467116244,60.23835931423601
1666750477.09244,1.0255897640716403,1.0633948178035932,0.008542041394179033,0.01661783319180929,0.32006514831127314,58.584228584517525
1666750477.1266992,1.0294153984889605,1.0690784715398767,0.008534506084918056,0.018335982918618585,0.32254949999183463,56.80988576592387
1666750477.1614606,1.0333889324690393,1.0746590791080706,0.008528667333389476,0.019267787149372058,0.32550137952705765,55.27472575326716
1666750477.1960328,1.0374970608045755,1.0801286435125725,0.008527333951462292,0.019578353155640594,0.32863262644779495,53.74408295942392
1666750477.2306585,1.0416418986669649,1.0855186654341218,0.00852615293048139,0.018885618900620765,0.33152439322827504,52.52703451082979
1666750477.2648442,1.0457108304735026,1.090924698486615,0.008518788509804507,0.016380335744764718,0.33352661826195884,52.587569775508335
1666750477.2989407,1.049644198602888,1.096407932963628,0.008525215653698976,0.013025297083146849,0.3346466179456668,53.63854287323595
1666750477.3333573,1.053399656457699,1.1020011592942318,0.008518527941252635,0.009703126057751548,0.33499757330972246,55.207027496749575
1666750477.3679876,1.0570001460302956,1.1077223669086709,0.008527786439890996,0.006833566912464602,0.3345414840755302,57.114729462807155
1666750477.4015803,1.0605703202471608,1.1135138855374016,0.008523874499090601,0.005118264313732466,0.3335467833866825,58.325459507904576
1666750477.4355178,1.0641901987386888,1.1192874929535879,0.008532333855427142,0.004503489273008635,0.3320246761543044,58.169291551777995
1666750477.4697242,1.0678130475189136,1.1250343238548732,0.008526812101653574,0.004111755037180761,0.33025563590162477,57.711339170267294
1666750477.5040617,1.0714076465159486,1.1307983408323792,0.008529743287061999,0.002998371396366388,0.3282672778980756,57.922519424142024
1666750477.5384817,1.0750081761142334,1.1365727292187826,0.008538805356047608,0.0015766798210666633,0.3264690008119664,58.12004553175835
1666750477.5736775,1.0786140031029527,1.1423335829080359,0.008533246824059988,0.0003309793805066706,0.32513900155981307,57.95292897352365
1666750477.6080656,1.082174328378996,1.1481052200252058,0.00853527480875531,-0.0010928825154231565,0.32426247286091275,58.0609178854371
1666750477.6424937,1.0856881500179996,1.1539139226389692,0.008539796153589742,-0.0029838789559461574,0.3241434527074049,58.6381459247139
1666750477.6761904,1.0891850650680894,1.1597408653629706,0.008532113140999163,-0.0047930641771689346,0.32469059540592166,58.96915559653672
1666750477.710284,1.0926580006734443,1.1655754473978825,0.00853621791817112,-0.006282722702698685,0.32567367241793643,59.100946436288304
1666750477.7442465,1.0960919342453999,1.1714304440962224,0.008527692187636337,-0.007672764959023048,0.3271130470884966,59.419351338654444
1666750477.780681,1.0994992013933076,1.1773090149746717,0.008530231295988242,-0.008900249583675003,0.3285697202570228,59.79991172048945
1666750477.8153503,1.1029036350775536,1.1831959933717942,0.008523910495783747,-0.009661195277438629,0.32993649993896257,59.96436510088499
1666750477.8492568,1.1063023128661507,1.1890814471743425,0.00853103789403422,-0.009885125594899378,0.33099141926169323,59.95129023566205
1666750477.8839548,1.1096824302688573,1.1949748563936688,0.008524629714929035,-0.009899967062389305,0.33166648929599507,60.072254957459165
1666750477.918876,1.1130490011262986,1.2008792732450786,0.008527254026564242,-0.009713841494318528,0.3318604235137774,60.25706328058707
1666750477.9523606,1.1164078978771563,1.2067885401648666,0.008528936527720573,-0.00918151345346677,0.3316829938756265,60.351591780388155
1666750477.9871182,1.119753714252197,1.21270245161727,0.008526812626569428,-0.008384190691360758,0.3310311954390455,60.43384855220534
1666750478.0202734,1.1230807358210528,1.218625803657051,0.008534616644234752,-0.007435075176900876,0.33006252472384084,60.58911792917136
1666750478.0550086,1.126391363107077,1.2245598174711887,0.008531854795877184,-0.0063308511281702905,0.3289899993880416,60.77319819279414
1666750478.0888696,1.1296880392521176,1.2305019000542172,0.00853450251126842,-0.005027963352914952,0.327836424084315,60.91587199057472
1666750478.1231587,1.132968969356471,1.2364518315949016,0.008534386839831706,-0.003554698973647906,0.32686922772456484,61.05317005802302
1666750478.1572795,1.1362330532330962,1.2424111874377535,0.008533743597945767,-0.0019581514898014524,0.32614202550100146,61.2146761538212
1666750478.1915684,1.1394856496155963,1.248380423387853,0.00853521009046833,-0.0002480530525862831,0.32583234351267,61.37301980897204
1666750478.2257345,1.1427419576153368,1.2543529222386072,0.008537426599456029,0.0016206133643664785,0.32586743234156046,61.43662300510792
1666750478.2597728,1.1460037799869915,1.2603203259212865,0.008531021453035607,0.003710356804967286,0.3262546090021083,61.358890715298024
1666750478.29398,1.1492621700748367,1.2662872687716116,0.008536453349468775,0.005832697323361721,0.32676517391074905,61.34339173929308
1666750478.3280869,1.152518351342565,1.272257164449533,0.008529135209320369,0.007889913035351616,0.32755443974962295,61.39018625771402
1666750478.3623896,1.155777082513044,1.2782265383156592,0.008528466213005986,0.009937492047356103,0.32832470029880706,61.386871950031384
1666750478.3990586,1.1590206163369035,1.2841906504924885,0.008533148114969835,0.011937644207859395,0.329042091758377,61.36188581107812
1666750478.4339278,1.1621950271441532,1.2901766434305457,0.008525641573914123,0.013448824045361426,0.3296277789423534,61.69371236641514
1666750478.4684458,1.1653225944477004,1.296206436328322,0.008532150840236643,0.014321916470087173,0.3298728079183784,62.44246584015308
1666750478.5024376,1.1684466574705614,1.3022449322303622,0.008533434403026445,0.01564574454504835,0.3301327755173179,62.646865391846084
1666750478.5361032,1.1715452372475799,1.3082844271982168,0.0085254246270295,0.01723132703188423,0.3301975939730078,62.68341636822088
1666750478.570882,1.1745997080781252,1.3143455768195378,0.008531847567369721,0.018569131978734305,0.32990530011428754,63.05892055673929
1666750478.6055744,1.1776091792854986,1.3204220743538093,0.008531166951312218,0.019851835366794114,0.32947808714971777,63.4397464918216
1666750478.6400025,1.1805093118889887,1.3265269600111638,0.008534627687749442,0.021070441373733862,0.3288213797507393,64.01010295564488
1666750478.674022,1.1832765435053576,1.3326983945111288,0.008529307888438645,0.021973210269574887,0.3279494274044639,65.28710925345436
1666750478.7089193,1.185952802889427,1.3389226554111417,0.008537129620695132,0.022990610690077795,0.3272896040786536,66.37532166428862
1666750478.743333,1.188538870513355,1.3451786321852037,0.008532025707037108,0.02431452183500935,0.32697589390961607,67.11830084538406
1666750478.77779,1.1910103926812299,1.3514755354184003,0.008532331983945842,0.025809510110378197,0.32670940229065537,68.05436956250811
1666750478.813027,1.1933904062143703,1.3578276111559386,0.008535675187566486,0.027411473706759375,0.326611989538342,69.13187730346033
1666750478.8480346,1.1957965055027118,1.3642141511256798,0.008529169855450087,0.029827065278398877,0.32690868850951277,69.62714102576695
1666750478.8810885,1.1983503798861637,1.3705727521723348,0.008531866909473386,0.03361865896712523,0.3277324460455782,68.84994835185832
1666750478.916111,1.2011095104083147,1.376859102995059,0.008529589601889959,0.037646813626575244,0.3287459286637242,67.23605445823945
1666750478.9497554,1.2040920230536534,1.3830444878946024,0.008527362824265177,0.040904991456748585,0.32966681548676435,65.25466949987174
1666750478.9847896,1.2072627964314964,1.389113874059358,0.008531542892335672,0.04282724732535829,0.330184228287056,63.205296324715064
1666750479.0185025,1.2105051378104108,1.395100287380666,0.008530390633588573,0.042968424625307894,0.3298709160076881,61.7566264615806
1666750479.0529377,1.2137095138916314,1.4010750880255076,0.008536896225989143,0.04149565243227885,0.3284659429747906,61.54644013884248
1666750479.086832,1.216815844570117,1.4070833297169885,0.00853109678228714,0.03888908870400528,0.326843914357721,62.16990174873223
1666750479.1209369,1.2197882358217063,1.413151645401745,0.008537958823745159,0.03572258251538889,0.32536871131170075,63.26531451466061
1666750479.1563134,1.2226346118765432,1.419287459137821,0.008534225550809278,0.0324994495206592,0.3245790884769708,64.57108470668582
1666750479.1898847,1.2253922585904033,1.4254825894636023,0.008534231945711743,0.029465827600943097,0.32470568500308794,65.65313691547163
1666750479.2250862,1.2281357654645224,1.4317069716876474,0.008531029268808088,0.026790515262554573,0.32560005884422616,66.23104721768217
1666750479.2589748,1.2308779824758775,1.4379234398223781,0.008532260359503491,0.02485394826705244,0.327119864991095,66.14591840504508
1666750479.29319,1.2335757492313526,1.4441486654979254,0.008528651738914353,0.02326019565309612,0.3286292268768195,66.3383985618832
1666750479.3267574,1.2362332210559037,1.4503987516277517,0.008525091634183924,0.02183491131504552,0.32992202085102695,66.81883443017736
1666750479.3612177,1.2388733853482485,1.4566599887589537,0.008530582550678905,0.020889732593808025,0.3310759988376297,67.0719669421019
1666750479.3950894,1.241488608384588,1.4629274136914374,0.008523776877623748,0.020395604567839364,0.33183263734081725,67.22398310696981
1666750479.4291346,1.2440746187210603,1.469207913268328,0.008529157329995068,0.020077149958841488,0.3320778558310345,67.49771360410824
1666750479.4629946,1.2466398141363901,1.475499264007012,0.008527298779770683,0.020062680078892104,0.33197820173458553,67.73618614318269
1666750479.4971576,1.2491842306638554,1.4817977883153275,0.008526595830376068,0.02038547172616788,0.3314013930110545,67.90707458947278
1666750479.53143,1.2517037211426534,1.4881052628014177,0.00852876210398678,0.020897428611661197,0.3304529959009604,68.1146616921733
1666750479.566636,1.2541987009843654,1.4944233940722573,0.008536149825891315,0.021567960841097,0.32926106970285834,68.35029737211087
